[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=16, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.1%   1/1056] CV-SDP S2-Illum MC 1/16 CV=0.0 | time=  3.60s | IPM=  218 | Solved | ETA 1.7h
[  0.2%   2/1056] Direct S2-Illum MC 1/16 CV=0.0 | time=  1.96s | IPM=   37 | Infeasible | ETA 1.4h
[  0.3%   3/1056] CV-SDP S2-Illum MC 1/16 CV=0.1 | time=  1.30s | IPM=  129 | Solved | ETA 1.2h
[  0.4%   4/1056] Direct S2-Illum MC 1/16 CV=0.1 | time=  9.38s | IPM=  330 | Solved | ETA 2.2h
[  0.5%   5/1056] CV-SDP S2-Illum MC 1/16 CV=0.2 | time=  1.11s | IPM=  120 | Solved | ETA 1.9h
[  0.6%   6/1056] Direct S2-Illum MC 1/16 CV=0.2 | time=  9.53s | IPM=  353 | Solved | ETA 2.5h
[  0.7%   7/1056] CV-SDP S2-Illum MC 1/16 CV=0.3 | time=  1.13s | IPM=  123 | Solved | ETA 2.3h
[  0.8%   8/1056] Direct S2-Illum MC 1/16 CV=0.3 | time= 10.01s | IPM=  363 | Solved | ETA 2.7h
[  0.9%   9/1056] CV-SDP S2-Illum MC 1/16 CV=0.4 | time=  1.06s | IPM=  112 | Solved | ETA 2.5h
[  0.9%  10/1056] Direct S2-Illum MC 1/16 CV=0.4 | time=  9.54s | IPM=  350 | Solved | ETA 2.8h
[  1.0%  11/1056] CV-SDP S2-Illum MC 1/16 CV=0.5 | time=  1.04s | IPM=  108 | Solved | ETA 2.6h
[  1.1%  12/1056] Direct S2-Illum MC 1/16 CV=0.5 | time=  9.91s | IPM=  370 | Solved | ETA 2.8h
[  1.2%  13/1056] CV-SDP S2-Illum MC 1/16 CV=0.6 | time=  1.06s | IPM=  110 | Solved | ETA 2.7h
[  1.3%  14/1056] Direct S2-Illum MC 1/16 CV=0.6 | time=  6.30s | IPM=  230 | Solved | ETA 2.7h
[  1.4%  15/1056] CV-SDP S2-Illum MC 1/16 CV=0.7 | time=  1.03s | IPM=  106 | Solved | ETA 2.6h
[  1.5%  16/1056] Direct S2-Illum MC 1/16 CV=0.7 | time=  5.97s | IPM=  215 | Solved | ETA 2.6h
[  1.6%  17/1056] CV-SDP S2-Illum MC 1/16 CV=0.8 | time=  1.07s | IPM=  114 | Solved | ETA 2.5h
[  1.7%  18/1056] Direct S2-Illum MC 1/16 CV=0.8 | time=  6.02s | IPM=  215 | Solved | ETA 2.6h
[  1.8%  19/1056] CV-SDP S2-Illum MC 1/16 CV=0.9 | time=  1.04s | IPM=  109 | Solved | ETA 2.5h
[  1.9%  20/1056] Direct S2-Illum MC 1/16 CV=0.9 | time=  5.76s | IPM=  200 | Solved | ETA 2.5h
[  2.0%  21/1056] CV-SDP S2-Illum MC 1/16 CV=1.0 | time=  1.11s | IPM=  115 | Solved | ETA 2.4h
[  2.1%  22/1056] Direct S2-Illum MC 1/16 CV=1.0 | time=  5.59s | IPM=  191 | Solved | ETA 2.4h
[  2.2%  23/1056] CV-SDP S2-Illum MC 2/16 CV=0.0 | time=  2.94s | IPM=  370 | Solved | ETA 2.4h
[  2.3%  24/1056] Direct S2-Illum MC 2/16 CV=0.0 | time=  1.16s | IPM=   18 | Infeasible | ETA 2.3h
[  2.4%  25/1056] CV-SDP S2-Illum MC 2/16 CV=0.1 | time=  0.87s | IPM=   85 | Solved | ETA 2.3h
[  2.5%  26/1056] Direct S2-Illum MC 2/16 CV=0.1 | time=  9.66s | IPM=  357 | Solved | ETA 2.4h
[  2.6%  27/1056] CV-SDP S2-Illum MC 2/16 CV=0.2 | time=  0.87s | IPM=   85 | Solved | ETA 2.3h
[  2.7%  28/1056] Direct S2-Illum MC 2/16 CV=0.2 | time=  9.32s | IPM=  344 | Solved | ETA 2.4h
[  2.7%  29/1056] CV-SDP S2-Illum MC 2/16 CV=0.3 | time=  0.91s | IPM=   90 | Solved | ETA 2.4h
[  2.8%  30/1056] Direct S2-Illum MC 2/16 CV=0.3 | time= 10.06s | IPM=  375 | Solved | ETA 2.5h
[  2.9%  31/1056] CV-SDP S2-Illum MC 2/16 CV=0.4 | time=  1.07s | IPM=  116 | Solved | ETA 2.4h
[  3.0%  32/1056] Direct S2-Illum MC 2/16 CV=0.4 | time=  6.23s | IPM=  227 | Solved | ETA 2.4h
[  3.1%  33/1056] CV-SDP S2-Illum MC 2/16 CV=0.5 | time=  1.10s | IPM=  118 | Solved | ETA 2.4h
[  3.2%  34/1056] Direct S2-Illum MC 2/16 CV=0.5 | time=  6.23s | IPM=  231 | Solved | ETA 2.4h
[  3.3%  35/1056] CV-SDP S2-Illum MC 2/16 CV=0.6 | time=  1.14s | IPM=  124 | Solved | ETA 2.4h
[  3.4%  36/1056] Direct S2-Illum MC 2/16 CV=0.6 | time=  6.44s | IPM=  236 | Solved | ETA 2.4h
[  3.5%  37/1056] CV-SDP S2-Illum MC 2/16 CV=0.7 | time=  1.06s | IPM=  111 | Solved | ETA 2.3h
[  3.6%  38/1056] Direct S2-Illum MC 2/16 CV=0.7 | time=  6.22s | IPM=  226 | Solved | ETA 2.4h
