[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=16, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.1%   1/1056] CV-SDP S2-Illum MC 3/16 CV=0.0 | time=  3.12s | IPM=  185 | Solved | ETA 1.5h
[  0.2%   2/1056] Direct S2-Illum MC 3/16 CV=0.0 | time=  2.26s | IPM=   57 | Failed | ETA 1.4h
[  0.3%   3/1056] CV-SDP S2-Illum MC 3/16 CV=0.1 | time=  1.04s | IPM=   88 | Solved | ETA 1.1h
[  0.4%   4/1056] Direct S2-Illum MC 3/16 CV=0.1 | time=  9.56s | IPM=  336 | Solved | ETA 2.2h
[  0.5%   5/1056] CV-SDP S2-Illum MC 3/16 CV=0.2 | time=  0.99s | IPM=  104 | Solved | ETA 1.9h
[  0.6%   6/1056] Direct S2-Illum MC 3/16 CV=0.2 | time=  8.96s | IPM=  345 | Solved | ETA 2.4h
[  0.7%   7/1056] CV-SDP S2-Illum MC 3/16 CV=0.3 | time=  0.96s | IPM=  103 | Solved | ETA 2.2h
[  0.8%   8/1056] Direct S2-Illum MC 3/16 CV=0.3 | time=  9.69s | IPM=  375 | Solved | ETA 2.6h
[  0.9%   9/1056] CV-SDP S2-Illum MC 3/16 CV=0.4 | time=  1.02s | IPM=  110 | Solved | ETA 2.4h
[  0.9%  10/1056] Direct S2-Illum MC 3/16 CV=0.4 | time= 10.29s | IPM=  415 | Solved | ETA 2.7h
[  1.0%  11/1056] CV-SDP S2-Illum MC 3/16 CV=0.5 | time=  1.04s | IPM=  114 | Solved | ETA 2.5h
[  1.1%  12/1056] Direct S2-Illum MC 3/16 CV=0.5 | time=  7.03s | IPM=  286 | Solved | ETA 2.7h
[  1.2%  13/1056] CV-SDP S2-Illum MC 3/16 CV=0.6 | time=  1.03s | IPM=  113 | Solved | ETA 2.5h
[  1.3%  14/1056] Direct S2-Illum MC 3/16 CV=0.6 | time=  6.92s | IPM=  276 | Solved | ETA 2.6h
[  1.4%  15/1056] CV-SDP S2-Illum MC 3/16 CV=0.7 | time=  1.13s | IPM=  120 | Solved | ETA 2.5h
[  1.5%  16/1056] Direct S2-Illum MC 3/16 CV=0.7 | time=  7.14s | IPM=  270 | Solved | ETA 2.6h
[  1.6%  17/1056] CV-SDP S2-Illum MC 3/16 CV=0.8 | time=  1.06s | IPM=  112 | Solved | ETA 2.5h
[  1.7%  18/1056] Direct S2-Illum MC 3/16 CV=0.8 | time=  6.91s | IPM=  256 | Solved | ETA 2.5h
[  1.8%  19/1056] CV-SDP S2-Illum MC 3/16 CV=0.9 | time=  1.27s | IPM=  140 | Solved | ETA 2.4h
[  1.9%  20/1056] Direct S2-Illum MC 3/16 CV=0.9 | time=  6.59s | IPM=  246 | Solved | ETA 2.5h
[  2.0%  21/1056] CV-SDP S2-Illum MC 3/16 CV=1.0 | time=  1.23s | IPM=  136 | Solved | ETA 2.4h
[  2.1%  22/1056] Direct S2-Illum MC 3/16 CV=1.0 | time=  6.37s | IPM=  229 | Solved | ETA 2.5h
[  2.2%  23/1056] CV-SDP S2-Illum MC 4/16 CV=0.0 | time=  1.58s | IPM=  185 | Solved | ETA 2.4h
[  2.3%  24/1056] Direct S2-Illum MC 4/16 CV=0.0 | time=  1.58s | IPM=   36 | Infeasible | ETA 2.3h
[  2.4%  25/1056] CV-SDP S2-Illum MC 4/16 CV=0.1 | time=  0.92s | IPM=   94 | Solved | ETA 2.3h
[  2.5%  26/1056] Direct S2-Illum MC 4/16 CV=0.1 | time=  9.30s | IPM=  347 | Solved | ETA 2.4h
[  2.6%  27/1056] CV-SDP S2-Illum MC 4/16 CV=0.2 | time=  0.91s | IPM=   94 | Solved | ETA 2.3h
[  2.7%  28/1056] Direct S2-Illum MC 4/16 CV=0.2 | time=  9.26s | IPM=  345 | Solved | ETA 2.4h
[  2.7%  29/1056] CV-SDP S2-Illum MC 4/16 CV=0.3 | time=  1.10s | IPM=  119 | Solved | ETA 2.3h
[  2.8%  30/1056] Direct S2-Illum MC 4/16 CV=0.3 | time= 11.25s | IPM=  440 | Solved | ETA 2.5h
[  2.9%  31/1056] CV-SDP S2-Illum MC 4/16 CV=0.4 | time=  1.14s | IPM=  123 | Solved | ETA 2.4h
[  3.0%  32/1056] Direct S2-Illum MC 4/16 CV=0.4 | time= 11.19s | IPM=  439 | Solved | ETA 2.5h
[  3.1%  33/1056] CV-SDP S2-Illum MC 4/16 CV=0.5 | time=  1.18s | IPM=  124 | Solved | ETA 2.5h
