[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=16, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.1%   1/1056] CV-SDP S2-Illum MC 13/16 CV=0.0 | time=  3.13s | IPM=  184 | Solved | ETA 1.5h
[  0.2%   2/1056] Direct S2-Illum MC 13/16 CV=0.0 | time=  1.94s | IPM=   36 | Infeasible | ETA 1.3h
[  0.3%   3/1056] CV-SDP S2-Illum MC 13/16 CV=0.1 | time=  1.00s | IPM=   85 | Solved | ETA 1.0h
[  0.4%   4/1056] Direct S2-Illum MC 13/16 CV=0.1 | time=  8.89s | IPM=  306 | Solved | ETA 2.1h
[  0.5%   5/1056] CV-SDP S2-Illum MC 13/16 CV=0.2 | time=  1.10s | IPM=  114 | Solved | ETA 1.8h
[  0.6%   6/1056] Direct S2-Illum MC 13/16 CV=0.2 | time=  9.74s | IPM=  349 | Solved | ETA 2.5h
[  0.7%   7/1056] CV-SDP S2-Illum MC 13/16 CV=0.3 | time=  1.07s | IPM=  111 | Solved | ETA 2.2h
[  0.8%   8/1056] Direct S2-Illum MC 13/16 CV=0.3 | time= 10.70s | IPM=  405 | Solved | ETA 2.7h
[  0.9%   9/1056] CV-SDP S2-Illum MC 13/16 CV=0.4 | time=  1.10s | IPM=  118 | Solved | ETA 2.5h
[  0.9%  10/1056] Direct S2-Illum MC 13/16 CV=0.4 | time=  6.21s | IPM=  225 | Solved | ETA 2.6h
[  1.0%  11/1056] CV-SDP S2-Illum MC 13/16 CV=0.5 | time=  1.15s | IPM=  122 | Solved | ETA 2.4h
[  1.1%  12/1056] Direct S2-Illum MC 13/16 CV=0.5 | time=  6.25s | IPM=  225 | Solved | ETA 2.5h
[  1.2%  13/1056] CV-SDP S2-Illum MC 13/16 CV=0.6 | time=  1.15s | IPM=  123 | Solved | ETA 2.3h
