[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 95/100 CV=0.0 | time=  3.70s | IPM=  184 | Solved | ETA 10.8h
[  0.0%   2/6600] Direct S2-Illum MC 95/100 CV=0.0 | time=  2.69s | IPM=   54 | Infeasible | ETA 10.0h
[  0.0%   3/6600] CV-SDP S2-Illum MC 95/100 CV=0.1 | time=  1.35s | IPM=  115 | Solved | ETA 8.3h
[  0.1%   4/6600] Direct S2-Illum MC 95/100 CV=0.1 | time= 11.21s | IPM=  346 | Solved | ETA 16.1h
[  0.1%   5/6600] CV-SDP S2-Illum MC 95/100 CV=0.2 | time=  1.18s | IPM=   88 | Solved | ETA 13.7h
[  0.1%   6/6600] Direct S2-Illum MC 95/100 CV=0.2 | time= 11.19s | IPM=  346 | Solved | ETA 18.2h
[  0.1%   7/6600] CV-SDP S2-Illum MC 95/100 CV=0.3 | time=  0.98s | IPM=   88 | Solved | ETA 16.1h
[  0.1%   8/6600] Direct S2-Illum MC 95/100 CV=0.3 | time= 11.40s | IPM=  360 | Solved | ETA 19.2h
[  0.1%   9/6600] CV-SDP S2-Illum MC 95/100 CV=0.4 | time=  1.21s | IPM=  110 | Solved | ETA 17.6h
[  0.2%  10/6600] Direct S2-Illum MC 95/100 CV=0.4 | time= 11.09s | IPM=  366 | Solved | ETA 19.8h
[  0.2%  11/6600] CV-SDP S2-Illum MC 95/100 CV=0.5 | time=  1.25s | IPM=  110 | Solved | ETA 18.4h
[  0.2%  12/6600] Direct S2-Illum MC 95/100 CV=0.5 | time=  7.29s | IPM=  245 | Solved | ETA 19.1h
[  0.2%  13/6600] CV-SDP S2-Illum MC 95/100 CV=0.6 | time=  1.33s | IPM=  116 | Solved | ETA 18.0h
[  0.2%  14/6600] Direct S2-Illum MC 95/100 CV=0.6 | time=  6.95s | IPM=  231 | Solved | ETA 18.5h
[  0.2%  15/6600] CV-SDP S2-Illum MC 95/100 CV=0.7 | time=  1.20s | IPM=  112 | Solved | ETA 17.6h
[  0.2%  16/6600] Direct S2-Illum MC 95/100 CV=0.7 | time=  6.74s | IPM=  221 | Solved | ETA 18.0h
[  0.3%  17/6600] CV-SDP S2-Illum MC 95/100 CV=0.8 | time=  1.25s | IPM=  113 | Solved | ETA 17.2h
[  0.3%  18/6600] Direct S2-Illum MC 95/100 CV=0.8 | time=  6.69s | IPM=  215 | Solved | ETA 17.6h
[  0.3%  19/6600] CV-SDP S2-Illum MC 95/100 CV=0.9 | time=  1.35s | IPM=  115 | Solved | ETA 17.0h
[  0.3%  20/6600] Direct S2-Illum MC 95/100 CV=0.9 | time=  6.52s | IPM=  206 | Solved | ETA 17.3h
[  0.3%  21/6600] CV-SDP S2-Illum MC 95/100 CV=1.0 | time=  1.19s | IPM=  114 | Solved | ETA 16.7h
[  0.3%  22/6600] Direct S2-Illum MC 95/100 CV=1.0 | time=  6.26s | IPM=  200 | Solved | ETA 17.0h
[  0.3%  23/6600] CV-SDP S2-Illum MC 96/100 CV=0.0 | time=  2.09s | IPM=  229 | Solved | ETA 16.6h
[  0.4%  24/6600] Direct S2-Illum MC 96/100 CV=0.0 | time=  2.63s | IPM=   71 | Infeasible | ETA 16.3h
[  0.4%  25/6600] CV-SDP S2-Illum MC 96/100 CV=0.1 | time=  1.34s | IPM=  126 | Solved | ETA 15.8h
[  0.4%  26/6600] Direct S2-Illum MC 96/100 CV=0.1 | time= 10.39s | IPM=  341 | Solved | ETA 16.7h
[  0.4%  27/6600] CV-SDP S2-Illum MC 96/100 CV=0.2 | time=  1.35s | IPM=  128 | Solved | ETA 16.2h
[  0.4%  28/6600] Direct S2-Illum MC 96/100 CV=0.2 | time= 10.47s | IPM=  346 | Solved | ETA 17.0h
[  0.4%  29/6600] CV-SDP S2-Illum MC 96/100 CV=0.3 | time=  1.22s | IPM=  110 | Solved | ETA 16.6h
[  0.5%  30/6600] Direct S2-Illum MC 96/100 CV=0.3 | time= 10.64s | IPM=  357 | Solved | ETA 17.3h
[  0.5%  31/6600] CV-SDP S2-Illum MC 96/100 CV=0.4 | time=  1.19s | IPM=  107 | Solved | ETA 16.9h
[  0.5%  32/6600] Direct S2-Illum MC 96/100 CV=0.4 | time= 10.97s | IPM=  370 | Solved | ETA 17.6h
[  0.5%  33/6600] CV-SDP S2-Illum MC 96/100 CV=0.5 | time=  1.25s | IPM=  113 | Solved | ETA 17.2h
[  0.5%  34/6600] Direct S2-Illum MC 96/100 CV=0.5 | time=  6.97s | IPM=  225 | Solved | ETA 17.5h
[  0.5%  35/6600] CV-SDP S2-Illum MC 96/100 CV=0.6 | time=  1.27s | IPM=  119 | Solved | ETA 17.1h
[  0.5%  36/6600] Direct S2-Illum MC 96/100 CV=0.6 | time=  6.90s | IPM=  230 | Solved | ETA 17.3h
[  0.6%  37/6600] CV-SDP S2-Illum MC 96/100 CV=0.7 | time=  1.28s | IPM=  119 | Solved | ETA 17.0h
[  0.6%  38/6600] Direct S2-Illum MC 96/100 CV=0.7 | time=  6.73s | IPM=  219 | Solved | ETA 17.2h
[  0.6%  39/6600] CV-SDP S2-Illum MC 96/100 CV=0.8 | time=  1.25s | IPM=  119 | Solved | ETA 16.9h
