[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 38/100 CV=0.0 | time=  3.89s | IPM=  170 | Solved | ETA 11.1h
[  0.0%   2/6600] Direct S2-Illum MC 38/100 CV=0.0 | time=  1.81s | IPM=   19 | Infeasible | ETA 8.6h
[  0.0%   3/6600] CV-SDP S2-Illum MC 38/100 CV=0.1 | time=  1.18s | IPM=   96 | Solved | ETA 7.3h
[  0.1%   4/6600] Direct S2-Illum MC 38/100 CV=0.1 | time= 10.25s | IPM=  314 | Solved | ETA 14.8h
[  0.1%   5/6600] CV-SDP S2-Illum MC 38/100 CV=0.2 | time=  1.05s | IPM=   92 | Solved | ETA 12.6h
[  0.1%   6/6600] Direct S2-Illum MC 38/100 CV=0.2 | time= 10.76s | IPM=  360 | Solved | ETA 17.1h
[  0.1%   7/6600] CV-SDP S2-Illum MC 38/100 CV=0.3 | time=  1.22s | IPM=  113 | Solved | ETA 15.3h
[  0.1%   8/6600] Direct S2-Illum MC 38/100 CV=0.3 | time= 11.19s | IPM=  365 | Solved | ETA 18.4h
[  0.1%   9/6600] CV-SDP S2-Illum MC 38/100 CV=0.4 | time=  1.29s | IPM=  117 | Solved | ETA 16.9h
[  0.2%  10/6600] Direct S2-Illum MC 38/100 CV=0.4 | time=  6.73s | IPM=  216 | Solved | ETA 17.7h
[  0.2%  11/6600] CV-SDP S2-Illum MC 38/100 CV=0.5 | time=  1.20s | IPM=  111 | Solved | ETA 16.5h
[  0.2%  12/6600] Direct S2-Illum MC 38/100 CV=0.5 | time=  6.88s | IPM=  220 | Solved | ETA 17.2h
[  0.2%  13/6600] CV-SDP S2-Illum MC 38/100 CV=0.6 | time=  1.28s | IPM=  113 | Solved | ETA 16.3h
[  0.2%  14/6600] Direct S2-Illum MC 38/100 CV=0.6 | time=  6.95s | IPM=  230 | Solved | ETA 16.9h
[  0.2%  15/6600] CV-SDP S2-Illum MC 38/100 CV=0.7 | time=  1.25s | IPM=  115 | Solved | ETA 16.1h
[  0.2%  16/6600] Direct S2-Illum MC 38/100 CV=0.7 | time=  6.66s | IPM=  216 | Solved | ETA 16.6h
[  0.3%  17/6600] CV-SDP S2-Illum MC 38/100 CV=0.8 | time=  1.19s | IPM=  104 | Solved | ETA 15.9h
[  0.3%  18/6600] Direct S2-Illum MC 38/100 CV=0.8 | time=  6.74s | IPM=  211 | Solved | ETA 16.4h
[  0.3%  19/6600] CV-SDP S2-Illum MC 38/100 CV=0.9 | time=  1.11s | IPM=  100 | Solved | ETA 15.7h
[  0.3%  20/6600] Direct S2-Illum MC 38/100 CV=0.9 | time=  6.44s | IPM=  201 | Solved | ETA 16.1h
[  0.3%  21/6600] CV-SDP S2-Illum MC 38/100 CV=1.0 | time=  1.05s | IPM=   98 | Solved | ETA 15.5h
[  0.3%  22/6600] Direct S2-Illum MC 38/100 CV=1.0 | time=  5.96s | IPM=  190 | Solved | ETA 15.8h
[  0.3%  23/6600] CV-SDP S2-Illum MC 39/100 CV=0.0 | time=  1.62s | IPM=  169 | Solved | ETA 15.4h
[  0.4%  24/6600] Direct S2-Illum MC 39/100 CV=0.0 | time=  2.61s | IPM=   71 | Infeasible | ETA 15.1h
[  0.4%  25/6600] CV-SDP S2-Illum MC 39/100 CV=0.1 | time=  1.03s | IPM=   90 | Solved | ETA 14.7h
[  0.4%  26/6600] Direct S2-Illum MC 39/100 CV=0.1 | time= 10.51s | IPM=  332 | Solved | ETA 15.6h
[  0.4%  27/6600] CV-SDP S2-Illum MC 39/100 CV=0.2 | time=  1.15s | IPM=  114 | Solved | ETA 15.1h
[  0.4%  28/6600] Direct S2-Illum MC 39/100 CV=0.2 | time= 10.00s | IPM=  348 | Solved | ETA 15.9h
