[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 32/100 CV=0.0 | time=  3.73s | IPM=  184 | Solved | ETA 10.9h
[  0.0%   2/6600] Direct S2-Illum MC 32/100 CV=0.0 | time=  2.26s | IPM=   42 | Infeasible | ETA 9.4h
[  0.0%   3/6600] CV-SDP S2-Illum MC 32/100 CV=0.1 | time=  1.38s | IPM=  115 | Solved | ETA 7.9h
[  0.1%   4/6600] Direct S2-Illum MC 32/100 CV=0.1 | time= 10.32s | IPM=  319 | Solved | ETA 15.3h
[  0.1%   5/6600] CV-SDP S2-Illum MC 32/100 CV=0.2 | time=  1.31s | IPM=  123 | Solved | ETA 13.2h
[  0.1%   6/6600] Direct S2-Illum MC 32/100 CV=0.2 | time= 10.97s | IPM=  360 | Solved | ETA 17.7h
[  0.1%   7/6600] CV-SDP S2-Illum MC 32/100 CV=0.3 | time=  1.20s | IPM=  115 | Solved | ETA 15.7h
[  0.1%   8/6600] Direct S2-Illum MC 32/100 CV=0.3 | time= 11.23s | IPM=  367 | Solved | ETA 18.9h
[  0.1%   9/6600] CV-SDP S2-Illum MC 32/100 CV=0.4 | time=  1.27s | IPM=  117 | Solved | ETA 17.3h
[  0.2%  10/6600] Direct S2-Illum MC 32/100 CV=0.4 | time=  6.89s | IPM=  225 | Solved | ETA 18.1h
[  0.2%  11/6600] CV-SDP S2-Illum MC 32/100 CV=0.5 | time=  1.26s | IPM=  119 | Solved | ETA 16.9h
[  0.2%  12/6600] Direct S2-Illum MC 32/100 CV=0.5 | time=  6.96s | IPM=  226 | Solved | ETA 17.6h
[  0.2%  13/6600] CV-SDP S2-Illum MC 32/100 CV=0.6 | time=  1.19s | IPM=  111 | Solved | ETA 16.6h
[  0.2%  14/6600] Direct S2-Illum MC 32/100 CV=0.6 | time=  6.90s | IPM=  226 | Solved | ETA 17.2h
[  0.2%  15/6600] CV-SDP S2-Illum MC 32/100 CV=0.7 | time=  1.19s | IPM=  111 | Solved | ETA 16.3h
[  0.2%  16/6600] Direct S2-Illum MC 32/100 CV=0.7 | time=  6.63s | IPM=  216 | Solved | ETA 16.8h
[  0.3%  17/6600] CV-SDP S2-Illum MC 32/100 CV=0.8 | time=  1.17s | IPM=  111 | Solved | ETA 16.1h
[  0.3%  18/6600] Direct S2-Illum MC 32/100 CV=0.8 | time=  6.83s | IPM=  210 | Solved | ETA 16.6h
[  0.3%  19/6600] CV-SDP S2-Illum MC 32/100 CV=0.9 | time=  1.12s | IPM=  103 | Solved | ETA 15.9h
[  0.3%  20/6600] Direct S2-Illum MC 32/100 CV=0.9 | time=  6.25s | IPM=  204 | Solved | ETA 16.3h
[  0.3%  21/6600] CV-SDP S2-Illum MC 32/100 CV=1.0 | time=  1.18s | IPM=  105 | Solved | ETA 15.7h
[  0.3%  22/6600] Direct S2-Illum MC 32/100 CV=1.0 | time=  6.50s | IPM=  193 | Solved | ETA 16.1h
[  0.3%  23/6600] CV-SDP S2-Illum MC 33/100 CV=0.0 | time=  1.72s | IPM=  181 | Solved | ETA 15.7h
[  0.4%  24/6600] Direct S2-Illum MC 33/100 CV=0.0 | time=  1.47s | IPM=   18 | Infeasible | ETA 15.2h
[  0.4%  25/6600] CV-SDP S2-Illum MC 33/100 CV=0.1 | time=  1.08s | IPM=  105 | Solved | ETA 14.8h
[  0.4%  26/6600] Direct S2-Illum MC 33/100 CV=0.1 | time= 10.10s | IPM=  326 | Solved | ETA 15.6h
[  0.4%  27/6600] CV-SDP S2-Illum MC 33/100 CV=0.2 | time=  1.14s | IPM=  105 | Solved | ETA 15.2h
[  0.4%  28/6600] Direct S2-Illum MC 33/100 CV=0.2 | time= 10.54s | IPM=  355 | Solved | ETA 16.0h
[  0.4%  29/6600] CV-SDP S2-Illum MC 33/100 CV=0.3 | time=  1.20s | IPM=  110 | Solved | ETA 15.6h
[  0.5%  30/6600] Direct S2-Illum MC 33/100 CV=0.3 | time= 10.58s | IPM=  348 | Solved | ETA 16.4h
[  0.5%  31/6600] CV-SDP S2-Illum MC 33/100 CV=0.4 | time=  1.24s | IPM=  115 | Solved | ETA 16.0h
[  0.5%  32/6600] Direct S2-Illum MC 33/100 CV=0.4 | time= 10.81s | IPM=  361 | Solved | ETA 16.7h
