[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 13/100 CV=0.0 | time=  3.44s | IPM=  184 | Solved | ETA 9.8h
[  0.0%   2/6600] Direct S2-Illum MC 13/100 CV=0.0 | time=  2.20s | IPM=   36 | Infeasible | ETA 8.5h
[  0.0%   3/6600] CV-SDP S2-Illum MC 13/100 CV=0.1 | time=  1.06s | IPM=   85 | Solved | ETA 7.0h
[  0.1%   4/6600] Direct S2-Illum MC 13/100 CV=0.1 | time= 10.09s | IPM=  306 | Solved | ETA 14.6h
[  0.1%   5/6600] CV-SDP S2-Illum MC 13/100 CV=0.2 | time=  1.20s | IPM=  114 | Solved | ETA 12.5h
[  0.1%   6/6600] Direct S2-Illum MC 13/100 CV=0.2 | time= 10.05s | IPM=  349 | Solved | ETA 16.5h
[  0.1%   7/6600] CV-SDP S2-Illum MC 13/100 CV=0.3 | time=  1.17s | IPM=  111 | Solved | ETA 14.8h
[  0.1%   8/6600] Direct S2-Illum MC 13/100 CV=0.3 | time= 11.35s | IPM=  405 | Solved | ETA 18.1h
[  0.1%   9/6600] CV-SDP S2-Illum MC 13/100 CV=0.4 | time=  1.16s | IPM=  118 | Solved | ETA 16.5h
[  0.2%  10/6600] Direct S2-Illum MC 13/100 CV=0.4 | time=  6.39s | IPM=  225 | Solved | ETA 17.2h
[  0.2%  11/6600] CV-SDP S2-Illum MC 13/100 CV=0.5 | time=  1.25s | IPM=  122 | Solved | ETA 16.0h
[  0.2%  12/6600] Direct S2-Illum MC 13/100 CV=0.5 | time=  6.46s | IPM=  225 | Solved | ETA 16.7h
[  0.2%  13/6600] CV-SDP S2-Illum MC 13/100 CV=0.6 | time=  1.23s | IPM=  123 | Solved | ETA 15.7h
[  0.2%  14/6600] Direct S2-Illum MC 13/100 CV=0.6 | time=  6.50s | IPM=  230 | Solved | ETA 16.3h
[  0.2%  15/6600] CV-SDP S2-Illum MC 13/100 CV=0.7 | time=  1.21s | IPM=  121 | Solved | ETA 15.5h
[  0.2%  16/6600] Direct S2-Illum MC 13/100 CV=0.7 | time=  6.73s | IPM=  215 | Solved | ETA 16.1h
[  0.3%  17/6600] CV-SDP S2-Illum MC 13/100 CV=0.8 | time=  1.28s | IPM=  125 | Solved | ETA 15.4h
[  0.3%  18/6600] Direct S2-Illum MC 13/100 CV=0.8 | time=  6.12s | IPM=  210 | Solved | ETA 15.8h
