[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 88/100 CV=0.0 | time=  4.26s | IPM=  230 | Solved | ETA 12.3h
[  0.0%   2/6600] Direct S2-Illum MC 88/100 CV=0.0 | time=  2.27s | IPM=   49 | Infeasible | ETA 10.2h
[  0.0%   3/6600] CV-SDP S2-Illum MC 88/100 CV=0.1 | time=  1.45s | IPM=  136 | Solved | ETA 8.5h
[  0.1%   4/6600] Direct S2-Illum MC 88/100 CV=0.1 | time= 10.66s | IPM=  336 | Solved | ETA 16.1h
[  0.1%   5/6600] CV-SDP S2-Illum MC 88/100 CV=0.2 | time=  1.50s | IPM=  129 | Solved | ETA 14.0h
[  0.1%   6/6600] Direct S2-Illum MC 88/100 CV=0.2 | time= 10.73s | IPM=  348 | Solved | ETA 18.2h
[  0.1%   7/6600] CV-SDP S2-Illum MC 88/100 CV=0.3 | time=  1.44s | IPM=  125 | Solved | ETA 16.3h
[  0.1%   8/6600] Direct S2-Illum MC 88/100 CV=0.3 | time= 12.27s | IPM=  413 | Solved | ETA 19.8h
[  0.1%   9/6600] CV-SDP S2-Illum MC 88/100 CV=0.4 | time=  1.31s | IPM=  120 | Solved | ETA 18.2h
[  0.2%  10/6600] Direct S2-Illum MC 88/100 CV=0.4 | time= 11.88s | IPM=  414 | Solved | ETA 20.7h
[  0.2%  11/6600] CV-SDP S2-Illum MC 88/100 CV=0.5 | time=  1.30s | IPM=  124 | Solved | ETA 19.2h
[  0.2%  12/6600] Direct S2-Illum MC 88/100 CV=0.5 | time=  8.15s | IPM=  288 | Solved | ETA 20.1h
[  0.2%  13/6600] CV-SDP S2-Illum MC 88/100 CV=0.6 | time=  1.25s | IPM=  118 | Solved | ETA 18.9h
[  0.2%  14/6600] Direct S2-Illum MC 88/100 CV=0.6 | time=  7.00s | IPM=  231 | Solved | ETA 19.4h
[  0.2%  15/6600] CV-SDP S2-Illum MC 88/100 CV=0.7 | time=  1.30s | IPM=  123 | Solved | ETA 18.4h
[  0.2%  16/6600] Direct S2-Illum MC 88/100 CV=0.7 | time=  7.44s | IPM=  248 | Solved | ETA 19.0h
[  0.3%  17/6600] CV-SDP S2-Illum MC 88/100 CV=0.8 | time=  1.48s | IPM=  142 | Solved | ETA 18.2h
[  0.3%  18/6600] Direct S2-Illum MC 88/100 CV=0.8 | time=  7.35s | IPM=  232 | Solved | ETA 18.6h
[  0.3%  19/6600] CV-SDP S2-Illum MC 88/100 CV=0.9 | time=  1.49s | IPM=  146 | Solved | ETA 17.9h
[  0.3%  20/6600] Direct S2-Illum MC 88/100 CV=0.9 | time=  6.52s | IPM=  205 | Solved | ETA 18.2h
[  0.3%  21/6600] CV-SDP S2-Illum MC 88/100 CV=1.0 | time=  1.50s | IPM=  142 | Solved | ETA 17.6h
[  0.3%  22/6600] Direct S2-Illum MC 88/100 CV=1.0 | time=  6.85s | IPM=  215 | Solved | ETA 17.9h
[  0.3%  23/6600] CV-SDP S2-Illum MC 89/100 CV=0.0 | time=  2.10s | IPM=  230 | Solved | ETA 17.5h
[  0.4%  24/6600] Direct S2-Illum MC 89/100 CV=0.0 | time=  2.29s | IPM=   57 | Failed | ETA 17.1h
[  0.4%  25/6600] CV-SDP S2-Illum MC 89/100 CV=0.1 | time=  1.26s | IPM=  119 | Solved | ETA 16.6h
[  0.4%  26/6600] Direct S2-Illum MC 89/100 CV=0.1 | time= 10.50s | IPM=  340 | Solved | ETA 17.4h
[  0.4%  27/6600] CV-SDP S2-Illum MC 89/100 CV=0.2 | time=  1.37s | IPM=  129 | Solved | ETA 17.0h
[  0.4%  28/6600] Direct S2-Illum MC 89/100 CV=0.2 | time= 10.89s | IPM=  362 | Solved | ETA 17.8h
[  0.4%  29/6600] CV-SDP S2-Illum MC 89/100 CV=0.3 | time=  1.27s | IPM=  117 | Solved | ETA 17.3h
[  0.5%  30/6600] Direct S2-Illum MC 89/100 CV=0.3 | time= 11.08s | IPM=  379 | Solved | ETA 18.1h
[  0.5%  31/6600] CV-SDP S2-Illum MC 89/100 CV=0.4 | time=  1.22s | IPM=  116 | Solved | ETA 17.7h
[  0.5%  32/6600] Direct S2-Illum MC 89/100 CV=0.4 | time= 12.27s | IPM=  430 | Solved | ETA 18.5h
[  0.5%  33/6600] CV-SDP S2-Illum MC 89/100 CV=0.5 | time=  1.22s | IPM=  117 | Solved | ETA 18.1h
[  0.5%  34/6600] Direct S2-Illum MC 89/100 CV=0.5 | time=  7.00s | IPM=  230 | Solved | ETA 18.3h
[  0.5%  35/6600] CV-SDP S2-Illum MC 89/100 CV=0.6 | time=  1.31s | IPM=  125 | Solved | ETA 17.9h
[  0.5%  36/6600] Direct S2-Illum MC 89/100 CV=0.6 | time=  6.91s | IPM=  230 | Solved | ETA 18.1h
[  0.6%  37/6600] CV-SDP S2-Illum MC 89/100 CV=0.7 | time=  1.23s | IPM=  111 | Solved | ETA 17.7h
[  0.6%  38/6600] Direct S2-Illum MC 89/100 CV=0.7 | time=  7.63s | IPM=  247 | Solved | ETA 18.0h
[  0.6%  39/6600] CV-SDP S2-Illum MC 89/100 CV=0.8 | time=  1.41s | IPM=  134 | Solved | ETA 17.7h
[  0.6%  40/6600] Direct S2-Illum MC 89/100 CV=0.8 | time=  6.76s | IPM=  214 | Solved | ETA 17.8h
[  0.6%  41/6600] CV-SDP S2-Illum MC 89/100 CV=0.9 | time=  1.43s | IPM=  138 | Solved | ETA 17.5h
[  0.6%  42/6600] Direct S2-Illum MC 89/100 CV=0.9 | time=  6.40s | IPM=  205 | Solved | ETA 17.7h
[  0.7%  43/6600] CV-SDP S2-Illum MC 89/100 CV=1.0 | time=  1.39s | IPM=  132 | Solved | ETA 17.4h
[  0.7%  44/6600] Direct S2-Illum MC 89/100 CV=1.0 | time=  6.70s | IPM=  214 | Solved | ETA 17.5h
[  0.7%  45/6600] CV-SDP S2-Illum MC 90/100 CV=0.0 | time=  1.85s | IPM=  187 | Solved | ETA 17.3h
[  0.7%  46/6600] Direct S2-Illum MC 90/100 CV=0.0 | time=  2.20s | IPM=   50 | Infeasible | ETA 17.1h
[  0.7%  47/6600] CV-SDP S2-Illum MC 90/100 CV=0.1 | time=  1.22s | IPM=  107 | Solved | ETA 16.8h
