[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 20/100 CV=0.0 | time=  3.99s | IPM=  221 | Solved | ETA 11.7h
[  0.0%   2/6600] Direct S2-Illum MC 20/100 CV=0.0 | time=  2.32s | IPM=   37 | Infeasible | ETA 9.6h
[  0.0%   3/6600] CV-SDP S2-Illum MC 20/100 CV=0.1 | time=  1.34s | IPM=  114 | Solved | ETA 8.0h
[  0.1%   4/6600] Direct S2-Illum MC 20/100 CV=0.1 | time=  9.62s | IPM=  320 | Solved | ETA 14.8h
[  0.1%   5/6600] CV-SDP S2-Illum MC 20/100 CV=0.2 | time=  1.36s | IPM=  123 | Solved | ETA 12.8h
[  0.1%   6/6600] Direct S2-Illum MC 20/100 CV=0.2 | time= 10.94s | IPM=  362 | Solved | ETA 17.4h
[  0.1%   7/6600] CV-SDP S2-Illum MC 20/100 CV=0.3 | time=  1.35s | IPM=  127 | Solved | ETA 15.6h
[  0.1%   8/6600] Direct S2-Illum MC 20/100 CV=0.3 | time= 10.63s | IPM=  347 | Solved | ETA 18.5h
[  0.1%   9/6600] CV-SDP S2-Illum MC 20/100 CV=0.4 | time=  1.28s | IPM=  122 | Solved | ETA 16.9h
[  0.2%  10/6600] Direct S2-Illum MC 20/100 CV=0.4 | time=  6.70s | IPM=  222 | Solved | ETA 17.7h
[  0.2%  11/6600] CV-SDP S2-Illum MC 20/100 CV=0.5 | time=  1.21s | IPM=  118 | Solved | ETA 16.4h
[  0.2%  12/6600] Direct S2-Illum MC 20/100 CV=0.5 | time=  6.41s | IPM=  229 | Solved | ETA 17.0h
