[Warning: OpenGL Startup options will be removed in a future release.] 
[Warning: Function narginchk has the same name as a MATLAB built-in. We suggest
you rename the function to avoid a potential name conflict.] 
[> In path (line 109)
In addpath (line 96)] 
============================================================
  CV Stress-Axis Diagnostic: CV-SDP vs Direct PSLR SCA
============================================================
  MC=100, CV grid=[0         0.1         0.2         0.3         0.4         0.5         0.6         0.7         0.8         0.9           1]
  Scenarios: S2 Higher Illumination, S3 More Targets, S4 Joint Stress
  N_T is fixed at 4 for all scenarios.
  Timed runs are quiet; solver-log replay is used for total IPM iterations.
------------------------------------------------------------
Scenario 1/3: S2 Higher Illumination
  N_T=4, N=16, L=4, Q=1.00, P_des=1.10 Pmax/N
CVX Warning:
   Models involving "log" or other functions in the log, exp, and entropy
   family are solved using an experimental successive approximation method.
   This method is slower and less reliable than the method CVX employs for
   other models. Please see the section of the user's guide entitled
       <a href="file:////home/wonill/matlab/cvx/doc/advanced.html#the-successive-approximation-method">The successive approximation method</a>
   for more details about the approach, and for instructions on how to
   suppress this warning message in the future.
[  0.0%   1/6600] CV-SDP S2-Illum MC 1/100 CV=0.0 | time=  3.87s | IPM=  218 | Solved | ETA 11.5h
[  0.0%   2/6600] Direct S2-Illum MC 1/100 CV=0.0 | time=  2.18s | IPM=   37 | Infeasible | ETA 9.6h
[  0.0%   3/6600] CV-SDP S2-Illum MC 1/100 CV=0.1 | time=  1.49s | IPM=  129 | Solved | ETA 8.2h
[  0.1%   4/6600] Direct S2-Illum MC 1/100 CV=0.1 | time= 10.77s | IPM=  330 | Solved | ETA 15.9h
[  0.1%   5/6600] CV-SDP S2-Illum MC 1/100 CV=0.2 | time=  1.31s | IPM=  120 | Solved | ETA 13.7h
[  0.1%   6/6600] Direct S2-Illum MC 1/100 CV=0.2 | time= 10.82s | IPM=  353 | Solved | ETA 18.0h
[  0.1%   7/6600] CV-SDP S2-Illum MC 1/100 CV=0.3 | time=  1.24s | IPM=  123 | Solved | ETA 16.1h
[  0.1%   8/6600] Direct S2-Illum MC 1/100 CV=0.3 | time= 10.98s | IPM=  363 | Solved | ETA 19.1h
[  0.1%   9/6600] CV-SDP S2-Illum MC 1/100 CV=0.4 | time=  1.16s | IPM=  112 | Solved | ETA 17.4h
[  0.2%  10/6600] Direct S2-Illum MC 1/100 CV=0.4 | time=  9.90s | IPM=  350 | Solved | ETA 19.4h
[  0.2%  11/6600] CV-SDP S2-Illum MC 1/100 CV=0.5 | time=  1.22s | IPM=  108 | Solved | ETA 18.0h
[  0.2%  12/6600] Direct S2-Illum MC 1/100 CV=0.5 | time= 10.43s | IPM=  370 | Solved | ETA 19.7h
[  0.2%  13/6600] CV-SDP S2-Illum MC 1/100 CV=0.6 | time=  1.12s | IPM=  110 | Solved | ETA 18.5h
[  0.2%  14/6600] Direct S2-Illum MC 1/100 CV=0.6 | time=  6.56s | IPM=  230 | Solved | ETA 18.9h
[  0.2%  15/6600] CV-SDP S2-Illum MC 1/100 CV=0.7 | time=  1.10s | IPM=  106 | Solved | ETA 17.9h
[  0.2%  16/6600] Direct S2-Illum MC 1/100 CV=0.7 | time=  6.34s | IPM=  215 | Solved | ETA 18.2h
[  0.3%  17/6600] CV-SDP S2-Illum MC 1/100 CV=0.8 | time=  1.18s | IPM=  114 | Solved | ETA 17.4h
[  0.3%  18/6600] Direct S2-Illum MC 1/100 CV=0.8 | time=  6.74s | IPM=  215 | Solved | ETA 17.8h
[  0.3%  19/6600] CV-SDP S2-Illum MC 1/100 CV=0.9 | time=  1.18s | IPM=  109 | Solved | ETA 17.1h
[  0.3%  20/6600] Direct S2-Illum MC 1/100 CV=0.9 | time=  6.39s | IPM=  200 | Solved | ETA 17.4h
[  0.3%  21/6600] CV-SDP S2-Illum MC 1/100 CV=1.0 | time=  1.36s | IPM=  115 | Solved | ETA 16.8h
[  0.3%  22/6600] Direct S2-Illum MC 1/100 CV=1.0 | time=  6.13s | IPM=  191 | Solved | ETA 17.1h
[  0.3%  23/6600] CV-SDP S2-Illum MC 2/100 CV=0.0 | time=  3.48s | IPM=  370 | Solved | ETA 16.9h
[  0.4%  24/6600] Direct S2-Illum MC 2/100 CV=0.0 | time=  1.38s | IPM=   18 | Infeasible | ETA 16.4h
[  0.4%  25/6600] CV-SDP S2-Illum MC 2/100 CV=0.1 | time=  0.98s | IPM=   85 | Solved | ETA 15.9h
[  0.4%  26/6600] Direct S2-Illum MC 2/100 CV=0.1 | time= 10.52s | IPM=  357 | Solved | ETA 16.7h
[  0.4%  27/6600] CV-SDP S2-Illum MC 2/100 CV=0.2 | time=  0.98s | IPM=   85 | Solved | ETA 16.3h
[  0.4%  28/6600] Direct S2-Illum MC 2/100 CV=0.2 | time= 10.37s | IPM=  344 | Solved | ETA 17.0h
[  0.4%  29/6600] CV-SDP S2-Illum MC 2/100 CV=0.3 | time=  1.04s | IPM=   90 | Solved | ETA 16.6h
[  0.5%  30/6600] Direct S2-Illum MC 2/100 CV=0.3 | time= 11.16s | IPM=  375 | Solved | ETA 17.4h
[  0.5%  31/6600] CV-SDP S2-Illum MC 2/100 CV=0.4 | time=  1.27s | IPM=  116 | Solved | ETA 17.0h
[  0.5%  32/6600] Direct S2-Illum MC 2/100 CV=0.4 | time=  6.91s | IPM=  227 | Solved | ETA 17.2h
[  0.5%  33/6600] CV-SDP S2-Illum MC 2/100 CV=0.5 | time=  1.27s | IPM=  118 | Solved | ETA 16.8h
[  0.5%  34/6600] Direct S2-Illum MC 2/100 CV=0.5 | time=  7.05s | IPM=  231 | Solved | ETA 17.1h
[  0.5%  35/6600] CV-SDP S2-Illum MC 2/100 CV=0.6 | time=  1.30s | IPM=  124 | Solved | ETA 16.7h
[  0.5%  36/6600] Direct S2-Illum MC 2/100 CV=0.6 | time=  7.04s | IPM=  236 | Solved | ETA 17.0h
[  0.6%  37/6600] CV-SDP S2-Illum MC 2/100 CV=0.7 | time=  1.24s | IPM=  111 | Solved | ETA 16.6h
[  0.6%  38/6600] Direct S2-Illum MC 2/100 CV=0.7 | time=  7.05s | IPM=  226 | Solved | ETA 16.9h
[  0.6%  39/6600] CV-SDP S2-Illum MC 2/100 CV=0.8 | time=  1.26s | IPM=  120 | Solved | ETA 16.5h
[  0.6%  40/6600] Direct S2-Illum MC 2/100 CV=0.8 | time=  6.79s | IPM=  220 | Solved | ETA 16.7h
[  0.6%  41/6600] CV-SDP S2-Illum MC 2/100 CV=0.9 | time=  1.21s | IPM=  111 | Solved | ETA 16.4h
[  0.6%  42/6600] Direct S2-Illum MC 2/100 CV=0.9 | time=  6.70s | IPM=  207 | Solved | ETA 16.6h
[  0.7%  43/6600] CV-SDP S2-Illum MC 2/100 CV=1.0 | time=  1.20s | IPM=  110 | Solved | ETA 16.3h
[  0.7%  44/6600] Direct S2-Illum MC 2/100 CV=1.0 | time=  6.23s | IPM=  196 | Solved | ETA 16.5h
[  0.7%  45/6600] CV-SDP S2-Illum MC 3/100 CV=0.0 | time=  1.71s | IPM=  185 | Solved | ETA 16.2h
[  0.7%  46/6600] Direct S2-Illum MC 3/100 CV=0.0 | time=  2.38s | IPM=   57 | Failed | ETA 16.1h
[  0.7%  47/6600] CV-SDP S2-Illum MC 3/100 CV=0.1 | time=  1.03s | IPM=   88 | Solved | ETA 15.8h
[  0.7%  48/6600] Direct S2-Illum MC 3/100 CV=0.1 | time= 10.46s | IPM=  336 | Solved | ETA 16.3h
[  0.7%  49/6600] CV-SDP S2-Illum MC 3/100 CV=0.2 | time=  1.14s | IPM=  104 | Solved | ETA 16.0h
[  0.8%  50/6600] Direct S2-Illum MC 3/100 CV=0.2 | time= 10.49s | IPM=  345 | Solved | ETA 16.5h
[  0.8%  51/6600] CV-SDP S2-Illum MC 3/100 CV=0.3 | time=  1.16s | IPM=  103 | Solved | ETA 16.2h
[  0.8%  52/6600] Direct S2-Illum MC 3/100 CV=0.3 | time= 11.40s | IPM=  375 | Solved | ETA 16.7h
[  0.8%  53/6600] CV-SDP S2-Illum MC 3/100 CV=0.4 | time=  1.23s | IPM=  110 | Solved | ETA 16.5h
[  0.8%  54/6600] Direct S2-Illum MC 3/100 CV=0.4 | time= 12.23s | IPM=  415 | Solved | ETA 17.0h
[  0.8%  55/6600] CV-SDP S2-Illum MC 3/100 CV=0.5 | time=  1.25s | IPM=  114 | Solved | ETA 16.7h
[  0.8%  56/6600] Direct S2-Illum MC 3/100 CV=0.5 | time=  8.25s | IPM=  286 | Solved | ETA 17.0h
[  0.9%  57/6600] CV-SDP S2-Illum MC 3/100 CV=0.6 | time=  1.17s | IPM=  113 | Solved | ETA 16.7h
[  0.9%  58/6600] Direct S2-Illum MC 3/100 CV=0.6 | time=  7.60s | IPM=  276 | Solved | ETA 16.9h
[  0.9%  59/6600] CV-SDP S2-Illum MC 3/100 CV=0.7 | time=  1.25s | IPM=  120 | Solved | ETA 16.7h
[  0.9%  60/6600] Direct S2-Illum MC 3/100 CV=0.7 | time=  7.56s | IPM=  270 | Solved | ETA 16.9h
[  0.9%  61/6600] CV-SDP S2-Illum MC 3/100 CV=0.8 | time=  1.20s | IPM=  112 | Solved | ETA 16.7h
[  0.9%  62/6600] Direct S2-Illum MC 3/100 CV=0.8 | time=  7.43s | IPM=  256 | Solved | ETA 16.8h
[  1.0%  63/6600] CV-SDP S2-Illum MC 3/100 CV=0.9 | time=  1.39s | IPM=  140 | Solved | ETA 16.6h
[  1.0%  64/6600] Direct S2-Illum MC 3/100 CV=0.9 | time=  6.93s | IPM=  246 | Solved | ETA 16.8h
[  1.0%  65/6600] CV-SDP S2-Illum MC 3/100 CV=1.0 | time=  1.35s | IPM=  136 | Solved | ETA 16.6h
[  1.0%  66/6600] Direct S2-Illum MC 3/100 CV=1.0 | time=  6.64s | IPM=  229 | Solved | ETA 16.7h
[  1.0%  67/6600] CV-SDP S2-Illum MC 4/100 CV=0.0 | time=  1.79s | IPM=  185 | Solved | ETA 16.6h
[  1.0%  68/6600] Direct S2-Illum MC 4/100 CV=0.0 | time=  1.83s | IPM=   36 | Infeasible | ETA 16.4h
[  1.0%  69/6600] CV-SDP S2-Illum MC 4/100 CV=0.1 | time=  1.11s | IPM=   94 | Solved | ETA 16.2h
[  1.1%  70/6600] Direct S2-Illum MC 4/100 CV=0.1 | time= 10.39s | IPM=  347 | Solved | ETA 16.5h
[  1.1%  71/6600] CV-SDP S2-Illum MC 4/100 CV=0.2 | time=  1.09s | IPM=   94 | Solved | ETA 16.4h
[  1.1%  72/6600] Direct S2-Illum MC 4/100 CV=0.2 | time= 10.36s | IPM=  345 | Solved | ETA 16.7h
[  1.1%  73/6600] CV-SDP S2-Illum MC 4/100 CV=0.3 | time=  1.22s | IPM=  119 | Solved | ETA 16.5h
[  1.1%  74/6600] Direct S2-Illum MC 4/100 CV=0.3 | time= 12.32s | IPM=  440 | Solved | ETA 16.9h
[  1.1%  75/6600] CV-SDP S2-Illum MC 4/100 CV=0.4 | time=  1.38s | IPM=  123 | Solved | ETA 16.7h
